Region;garcon;fille;Total;annee;commentaire;niveau_etude
Dakar;228906;229949;458855;2018;;2
Diourbel;150296;142992;293287;2018;;2
Fatick;7889;73683;151772;2018;;2
Kaffrine;62458;59832;122290;2018;;2
Kaolack;101503;93922;195425;2018;;2
Kedougou;15171;14536;29707;2018;;2
Kolda;7095;66164;136259;2018;;2
Louga;73558;78203;151761;2018;;2
Matam;62403;59127;121530;2018;;2
Saint-Louis;85230;79985;165215;2018;;2
Sedhiou;49195;45794;94989;2018;;2
Tambacounda;73315;69235;142550;2018;;2
Thies;163846;154331;318177;2018;;2
Ziguinchor;50758;47609;98368;2018;;2
Senegal;1264823;1215362;2480184;2018;;2
Dakar;148266;151331;299596;2018;;moyen
Diourbel;81099;82403;163502;2018;;moyen
Fatick;43700;41709;85408;2018;;moyen
Kaffrine;32691;32780;65471;2018;;moyen
Kaolack;56962;54383;111345;2018;;moyen
Kedougou;8276;7787;16063;2018;;moyen
Kolda;40377;37444;77821;2018;;moyen
Louga;49532;45985;95517;2018;;moyen
Matam;34362;32393;66755;2018;;moyen
Saint-Louis;51356;48060;99416;2018;;moyen
Sedhiou;28052;25216;53268;2018;;moyen
Tambacounda;40370;37389;77759;2018;;moyen
Thies;98627;91670;190297;2018;;moyen
Ziguinchor;29605;26725;56330;2018;;moyen
Senegal;743275;715275;1458550;2018;;moyen
Dakar;117382;116303;233685;2018;;prescolaire
Diourbel;90602;81385;171987;2018;;prescolaire
Fatick;44687;41846;86533;2018;;prescolaire
Kaffrine;38658;35594;74252;2018;;prescolaire
Kaolack;57979;52517;110496;2018;;prescolaire
Kedougou;9122;8865;17988;2018;;prescolaire
Kolda;39189;38002;77191;2018;;prescolaire
Louga;37082;43726;80809;2018;;prescolaire
Matam;36960;35175;72135;2018;;prescolaire
Saint-Louis;45910;43497;89406;2018;;prescolaire
Sedhiou;27951;27123;55075;2018;;prescolaire
Tambacounda;43423;41843;85267;2018;;prescolaire
Thies;88749;85529;174279;2018;;prescolaire
Ziguinchor;29302;28379;57681;2018;;prescolaire
Senegal;706995;679785;1386781;2018;;prescolaire
Dakar;108921;112465;221386;2018;;secondaire
Diourbel;52482;55823;108306;2018;;secondaire
Fatick;28386;27389;55775;2018;;secondaire
Kaffrine;20713;21439;42151;2018;;secondaire
Kaolack;37100;36466;73566;2018;;secondaire
Kedougou;5473;5084;10557;2018;;secondaire
Kolda;26833;24911;51744;2018;;secondaire
Louga;37903;31594;69496;2018;;secondaire
Matam;22552;21186;43738;2018;;secondaire
Saint-Louis;35341;33245;68586;2018;;secondaire
Sedhiou;18665;16550;35215;2018;;secondaire
Tambacounda;26496;24455;50951;2018;;secondaire
Thies;68146;63425;131571;2018;;secondaire
Ziguinchor;20810;18337;39146;2018;;secondaire
Senegal;509822;492368;1002190;2018;;secondaire
